track_id,type,traveled_d,avg_speed,length,width
137,Motorcycle,70.2,7.56666,2.5,1
138,Car,226.82,16.87088,5,2
139,Car,355.43,18.761704,5,2
140,Motorcycle,383.52,24.654728,2.5,1
141,Car,353.43,12.23403,5,2
142,Taxi,365.62,13.458444,5,2
143,Car,360.19,12.662783,5,2
144,Car,226.29,10.920108,5,2
145,Car,363.04,14.717706,5,2
146,Car,230.45,11.271841,5,2
147,Car,359.89,20.307135,5,2
148,Motorcycle,458.64,45.610766,2.5,1
149,Motorcycle,448.82,38.28795,2.5,1
150,Taxi,356.13,14.340611,5,2
151,Medium Vehicle,481.06,37.485053,5.83,2.67
152,Car,459.24,33.878237,5,2
153,Car,230.18,11.736982,5,2
154,Motorcycle,468.76,39.613483,2.5,1
155,Taxi,449.22,33.974847,5,2
156,Motorcycle,452.52,41.557757,2.5,1
157,Taxi,355.17,14.902337,5,2
158,Car,228.66,12.586957,5,2
159,Medium Vehicle,217.8,16.001924,5.83,2.67
160,Medium Vehicle,470.16,37.612893,5.83,2.67
161,Car,461.26,37.911853,5,2
162,Taxi,480.22,20.435062,5,2
163,Car,217.56,16.453876,5,2
164,Car,469.34,37.381053,5,2
165,Taxi,471.55,44.909252,5,2
166,Car,149.04,16.767438,5,2
167,Car,196.05,7.68811,5,2
168,Taxi,250.47,25.7631,5,2
169,Medium Vehicle,309.45,1.586453,5.83,2.67
170,Car,469,22.693631,5,2
171,Taxi,449.32,22.219126,5,2
173,Car,245.94,7.140296,5,2
174,Motorcycle,215.38,23.214765,2.5,1
175,Car,279.38,6.522528,5,2
176,Motorcycle,48.39,24.88469,2.5,1
177,Medium Vehicle,95.86,0.51429,5.83,2.67
178,Car,461.42,33.762296,5,2
179,Motorcycle,450.42,40.947495,2.5,1
180,Taxi,478.18,33.621851,5,2
181,Bus,249.22,23.735531,12.5,4
182,Car,476.67,33.647504,5,2
183,Motorcycle,334.07,15.340014,2.5,1
184,Car,358.88,21.461438,5,2
185,Car,70.29,13.604615,5,2
186,Taxi,467.75,38.445333,5,2
187,Taxi,248.33,22.462068,5,2
188,Car,367.2,16.003799,5,2
189,Car,214.19,8.703121,5,2
190,Car,7.46,0.040407,5,2
191,Car,129.14,18.898763,5,2
192,Motorcycle,349.06,17.214112,2.5,1
193,Car,451.59,20.789383,5,2
194,Car,355.3,21.24709,5,2
195,Car,352.67,17.250319,5,2
196,Car,0.99,1.278865,5,2
197,Car,50.81,27.71491,5,2
198,Taxi,479.65,15.958785,5,2
199,Car,226.32,14.548963,5,2
200,Car,462.07,38.506136,5,2
201,Bus,472.23,19.274553,12.5,4
202,Taxi,472.06,40.655956,5,2
203,Car,468.59,38.165956,5,2
204,Taxi,363.26,16.59578,5,2
205,Car,469.45,38.235978,5,2
206,Car,49.92,25.674809,5,2
207,Motorcycle,445.9,22.110763,2.5,1
208,Taxi,468.39,21.617962,5,2
209,Car,362.63,18.596606,5,2
210,Car,212.05,9.219589,5,2
211,Car,449.61,21.466736,5,2
212,Car,440.42,20.274991,5,2
213,Car,72.4,6.005181,5,2
214,Car,63.16,18.948539,5,2
215,Car,352.24,18.324616,5,2
216,Car,363.07,19.625258,5,2
217,Car,226.43,18.782141,5,2
218,Car,224.31,18.779828,5,2
219,Taxi,226.86,11.036675,5,2
220,Car,354.18,21.684286,5,2
221,Taxi,354.66,22.089627,5,2
222,Medium Vehicle,71.3,0.40255,5.83,2.67
223,Motorcycle,223.52,17.56887,2.5,1
224,Car,48.98,17.992965,5,2
225,Car,225.65,12.307961,5,2
226,Car,411.84,36.517683,5,2
227,Taxi,437.26,11.023256,5,2
228,Car,450.63,32.060904,5,2
229,Taxi,458.26,34.658482,5,2
230,Car,471.27,31.652313,5,2
231,Car,159.63,5.758242,5,2
232,Car,50.34,21.576201,5,2
233,Taxi,449.58,31.244837,5,2
234,Car,471.55,32.151146,5,2
235,Taxi,448.2,30.675351,5,2
236,Car,470.38,31.242777,5,2
237,Motorcycle,133.76,16.379228,2.5,1
238,Car,420.97,22.962109,5,2
239,Motorcycle,474.34,32.713241,2.5,1
240,Motorcycle,448.11,34.767502,2.5,1
241,Motorcycle,204.5,10.638664,2.5,1
242,Car,242.7,1.410108,5,2
243,Taxi,448.43,31.778335,5,2
244,Car,49.77,19.4734,5,2
245,Car,35.65,4.824916,5,2
246,Car,421.24,25.443825,5,2
247,Taxi,246.22,26.860862,5,2
248,Medium Vehicle,362.84,15.77566,5.83,2.67
249,Car,448.83,23.349687,5,2
250,Taxi,463.15,36.089848,5,2
251,Taxi,449.79,23.264862,5,2
252,Taxi,475.58,20.189661,5,2
253,Car,476.58,20.974119,5,2
254,Motorcycle,212.9,9.532961,2.5,1
255,Car,126.21,19.583931,5,2
256,Motorcycle,454.76,40.724497,2.5,1
257,Car,74.05,15.147143,5,2
258,Motorcycle,453.59,42.971395,2.5,1
259,Car,355.05,13.042705,5,2
260,Car,228.63,9.482181,5,2
262,Car,216.06,6.313529,5,2
263,Medium Vehicle,179.01,12.685838,5.83,2.67
264,Medium Vehicle,230.18,9.703308,5.83,2.67
265,Car,340.74,3.245156,5,2
266,Car,268.64,15.017255,5,2
267,Motorcycle,224.79,25.447515,2.5,1
268,Motorcycle,313.78,26.516704,2.5,1
269,Car,212.7,1.298269,5,2
270,Taxi,121.45,15.504361,5,2
271,Medium Vehicle,287.75,6.606482,5.83,2.67
272,Car,465.3,45.766783,5,2
273,Medium Vehicle,475.93,27.545727,5.83,2.67
274,Car,119.64,17.367558,5,2
275,Car,446.26,42.501122,5,2
276,Car,69.88,13.240577,5,2
277,Car,465.99,37.61341,5,2
278,Car,466.82,34.579257,5,2
279,Car,28.85,2.47266,5,2
280,Motorcycle,81.19,22.142895,2.5,1
281,Taxi,446.89,34.37614,5,2
282,Car,353.43,15.292791,5,2
283,Car,465.13,39.868608,5,2
284,Motorcycle,28.92,16.792004,2.5,1
285,Car,476.03,30.064816,5,2
286,Taxi,447.68,34.145351,5,2
287,Motorcycle,359.08,16.964532,2.5,1
288,Car,466.06,39.948141,5,2
289,Car,459.13,37.059616,5,2
290,Motorcycle,46.74,29.013095,2.5,1
291,Car,349.85,15.510438,5,2
